city,model,track,r2,mae,rmse,train_time_s,inference_time_s,n_rows,n_feats
Ahmedabad,BiLSTM,A,0.8321,22.25,31.96,277.5,3.328,28236,32
Chennai,BiLSTM,A,0.4047,18.16,26.68,513.2,3.951,44117,33
Delhi_NCR,BiLSTM,A,0.9263,23.79,34.15,623.6,5.35,77704,34
GandhiNagar,BiLSTM,A,0.7712,11.95,19.86,396.7,4.693,58632,32
Hyderabad,BiLSTM,A,0.5375,18.42,25.64,845.4,6.702,109993,34
Indore,BiLSTM,A,0.8874,15.42,23.5,267.0,3.924,43635,32
Jaipur,BiLSTM,A,0.705,20.64,33.45,328.4,3.876,42322,33
Jodhpur,BiLSTM,A,-1.1037,100.72,131.94,247.8,4.036,43329,33
Mumbai,BiLSTM,A,0.7427,17.39,31.47,335.3,4.329,54405,33
Mumbai_suburbs,BiLSTM,A,0.803,15.05,21.58,149.4,3.052,21625,33
Nagpur,BiLSTM,A,0.9107,13.17,19.63,466.0,5.435,80700,32
Pune,BiLSTM,A,-0.2789,69.48,93.01,394.6,5.084,70466,32
Singrauli,BiLSTM,A,0.8292,27.99,44.54,721.3,5.119,69506,22
Surat,BiLSTM,A,0.6301,32.32,54.4,280.5,3.206,26147,30
Thane,BiLSTM,A,0.7353,17.71,24.58,175.5,3.002,20521,33
Vapi,BiLSTM,A,0.6297,30.69,46.59,647.1,4.493,58285,31
bhopal,BiLSTM,A,0.7841,22.51,36.58,217.9,3.953,43515,32
vishakhapattanam,BiLSTM,A,0.8681,18.57,31.13,296.6,3.544,34614,34
