city,model,track,r2,mae,rmse,train_time_s,inference_time_s,n_rows,n_feats
Ahmedabad,CNN-BiLSTM,A,0.5595,37.12,51.76,75.7,0.9,28236,17
Chennai,CNN-BiLSTM,A,0.0442,21.18,33.81,111.6,1.082,44117,17
Delhi_NCR,CNN-BiLSTM,A,0.6863,55.74,70.44,46.6,1.532,77704,17
GandhiNagar,CNN-BiLSTM,A,0.4606,20.66,30.5,98.8,1.267,58632,17
Hyderabad,CNN-BiLSTM,A,0.1233,27.92,35.3,66.7,1.949,109993,17
Indore,CNN-BiLSTM,A,0.463,35.14,51.32,27.9,1.08,43635,17
Jaipur,CNN-BiLSTM,A,-0.2508,51.8,68.88,28.7,1.064,42322,17
Jodhpur,CNN-BiLSTM,A,0.2745,58.8,77.48,29.6,1.085,43329,17
Mumbai,CNN-BiLSTM,A,-0.21,48.51,68.24,33.5,1.218,54405,17
Mumbai_suburbs,CNN-BiLSTM,A,0.6565,20.47,28.5,44.2,0.802,21625,17
Nagpur,CNN-BiLSTM,A,0.5603,29.15,43.56,48.2,1.567,80700,17
Pune,CNN-BiLSTM,A,0.1506,48.34,75.8,42.9,1.436,70466,17
Singrauli,CNN-BiLSTM,A,0.3659,63.06,85.84,42.1,1.425,69506,14
Surat,CNN-BiLSTM,A,-0.1853,72.25,97.38,18.8,0.865,26147,17
Thane,CNN-BiLSTM,A,0.4562,27.41,35.23,33.3,0.78,20521,17
Vapi,CNN-BiLSTM,A,-0.2064,64.35,84.1,35.8,1.274,58285,17
bhopal,CNN-BiLSTM,A,0.5501,38.12,52.81,27.5,1.07,43515,17
vishakhapattanam,CNN-BiLSTM,A,0.4627,40.45,62.82,22.8,0.969,34614,17
